1030827787765080065,Sat Aug 18 14:44:31 +0000 2018,AfzalHussinKha1,rt @dgpup: deeply saddened by the loss of valuable lives &amp; mass destruction caused by the kerala floods. @uppolice prays for the safety &amp; w…
1030827788155084800,Sat Aug 18 14:44:31 +0000 2018,shakkiryaan,rt @sardesairajdeep: shameful to see such tweets in kerala’s hour of crisis.. the state needs human empathy not divine absurdity.. rather t…
1030827788016775169,Sat Aug 18 14:44:31 +0000 2018,niyas_mkm,"rt @vfckeralagirls: മഴക്കെടുതിയിൽ ദുരിതം അനുഭവിക്കുന്ന നമ്മുടെ പ്രിയ സഹോദരങ്ങൾക്ക്  all india head thalapathy dr. vijay makkal iyakkam
 vij…"
1030827788314599424,Sat Aug 18 14:44:31 +0000 2018,JakhmolaShreeya,rt @bangtanindia: as you all know a part of our country struggles through great tragedy. you can do your part by helping them by giving eve…
1030827789006434305,Sat Aug 18 14:44:31 +0000 2018,VarshaR35285233,"rt @amit_gujju: had conversation with dalla @kunalkamra88, he said if this tweets get 1000 rts he will donate full earning of his 24th augu…"
1030827790126395392,Sat Aug 18 14:44:31 +0000 2018,imthrlk,"rt @jobythomaz: ആലുവ ഗയ്സ്‌ ശ്രദ്ധിക്കുമല്ലോ.!
#keralafloods #keralafloodreleif https://t.co/14jyypen2r"
1030827791497883650,Sat Aug 18 14:44:32 +0000 2018,shalam_srk,rt @srk_bangalore: #keralafloods please let's all pray for kerala. let's do our bit and help the people. https://t.co/8s2jmplvhf
1030827790440914944,Sat Aug 18 14:44:31 +0000 2018,KedarJoglekar,"folks in kerala need help; in form of supplies/clothes or money.

donate generously: 
https://t.co/fjhqwjcmgh… https://t.co/lkuzawkhb1"
1030827792286371843,Sat Aug 18 14:44:32 +0000 2018,ashishsomkuor,#banrss
1030827795256168448,Sat Aug 18 14:44:32 +0000 2018,ksmsundaram1975,rt @ani: i spoke to kerala cm today. we've decided that a train full of rice worth around rs 7.5 crores will leave for kerala tomorrow. 3 c…
1030827795742507009,Sat Aug 18 14:44:33 +0000 2018,Pvjain4,rt @ani: i spoke to kerala cm today. we've decided that a train full of rice worth around rs 7.5 crores will leave for kerala tomorrow. 3 c…
1030827795981774848,Sat Aug 18 14:44:33 +0000 2018,unnis_m,67 ഹെലികോപ്റ്ററുകളും 27 എയർക്രഫ്റ്റുകളും നിലവിൽ കേരളത്തിൽ ഉള്ളതിന് പുറമെയാണ് ഇത്.ഭക്ഷണവും മരുന്നും എത്തിക്കാൻ തിരുവ… https://t.co/sdvc15wnu3
1030827796925280256,Sat Aug 18 14:44:33 +0000 2018,ashokku90446260,"rt @roshen_s: @eoin16 🙏🙏

thanks....

#doforkerala #donateforkerala 
#keralafloods https://t.co/75cgap1aso"
1030827800679264256,Sat Aug 18 14:44:34 +0000 2018,avinash_mailme,rt @sureshpprabhu: the flight operations between bangalore and cochin naval airbase will be starting from 20th august morning. more destina…
1030827801560211456,Sat Aug 18 14:44:34 +0000 2018,Shahidquadir2,"rt @httweets: #keralafloods | college student trolled for selling fish donates rs 1.5 lakh to kerala flood relief
https://t.co/5vdsxvjar9 h…"
1030827802457604097,Sat Aug 18 14:44:34 +0000 2018,Lavanya38136863,"rt @sachin_rt: respect and deep admiration for the @iaf_mcc, @indiannavy, @adgpi and other rescue forces in kerala. your consistent and rem…"
1030827803095130113,Sat Aug 18 14:44:34 +0000 2018,StillNotFound_,"rt @bankimistry: @aartic02 #metoo 
i also would #donate 
rs 2 per #rt 
and
rs 1 per #like 
till 10am 19th august, 2018 
for #keralafloods .…"
1030827803497787393,Sat Aug 18 14:44:34 +0000 2018,disruptor_v,rt @jnu_voice: students from kerala and activist join protest demanding centre government to immediately release more fund for flood victim…
1030827803623731200,Sat Aug 18 14:44:34 +0000 2018,joshmachine1973,"rt @hariindic: sabarimala ayyappan temple..

no law is above god... if u permit everyone, he denies everyone. #keralafloods https://t.co/ph…"
1030827803933986816,Sat Aug 18 14:44:34 +0000 2018,ShamilManzor,rt @rrpmalayil: our brave fishermen in action. ignore hate mongers. we can overcome the challenges @cmokerala need to appreciate their aid…
1030827804877701121,Sat Aug 18 14:44:35 +0000 2018,NitinShetty88,"rt @thezaiduleaks: @annavetticad shiekhs from middle east dressed in indian army uniform helping victims in #keralafloods 

this facist mod…"
1030827806073208833,Sat Aug 18 14:44:35 +0000 2018,GouravGoelShinu,"rt @bitiitb: i will donate ₹2 per rt and after 200rts ₹3 per rt, max.₹1000 #keralafloods"
1030827806257639424,Sat Aug 18 14:44:35 +0000 2018,Nanditap_twits,"rt @pssomas: #keralafloodrelief #keralafloods #keraladonationchallenge #keralaflood
guys please accept the #keraladonationchallenge

@kasth…"
1030827806513606656,Sat Aug 18 14:44:35 +0000 2018,imnooz,"rt @iam_ramshad_cmr: ഗുരുവായൂരിൽ ഹോർട്ടികോർപ് ന് കീഴിൽ, ദുരിതാശ്വാസ ക്യാമ്പുകളിലേയ്ക്ക് ആവശ്യമായ പച്ചക്കറികൾ സൗജന്യമായി നൽകുന്നുണ്ട്.  ക്യാ…"
1030827807297814529,Sat Aug 18 14:44:35 +0000 2018,RDVijay45,"rt @thanthitv: கேரள வெள்ள பாதிப்புக்கு, நடிகர் ரஜினி ரூ 15 லட்சம் நிதியுதவி..
#rajinikanth | #keralafloods
@rajinikanth https://t.co/r36cjj…"
1030827808874848257,Sat Aug 18 14:44:36 +0000 2018,WeRBeedkars,rt @cmomaharashtra: around 6.5 ton of food packets delivered by govt of maharashtra to coast guard ship at worli dock to dispatch for #kera…
1030827809013264392,Sat Aug 18 14:44:36 +0000 2018,thiruvallatw,"rt @brututweets: അൽപ്പം വെള്ളമോ, പാലോ 5 മാസം പ്രായമായ കുഞ്ഞിന് എത്തിക്കാമോ ?
 
3 ദിവസമായി. തിരുവല്ല, തെങ്ങേലി അമ്പാടിഫാമിനു സമീപം.
 
ഷാജി 9…"
1030827809135112192,Sat Aug 18 14:44:36 +0000 2018,Minukalasuva,rt @shehzad_ind: #indiaforkerala i am live here to tell u how to help #keralafloods  https://t.co/tlpy7jtntx
1030827809306947584,Sat Aug 18 14:44:36 +0000 2018,creativedream16,rt @rupasubramanya: so lord ayyapa may be taking revenge on innocents because some are fighting in the sc to allow women into the temple.if…
1030827809445306369,Sat Aug 18 14:44:36 +0000 2018,lakshnr,help us. #keralafloods #humanityfirst #armysforkerala every contribution is precious right now. don't hesitate. it… https://t.co/mtojtpcrqy
1030827811970281477,Sat Aug 18 14:44:36 +0000 2018,shalam_srk,"rt @srk_bangalore: #keralafloodrelief we will be sending out blankets,dresses. please pray for those affected by #keralafloods https://t.co…"
1030827813358772224,Sat Aug 18 14:44:37 +0000 2018,bhASAntika,rt @sgurumurthy: supreme court judges may like to see if there is any connection between the case and what is happening in sabarimala. even…
1030827814646427649,Sat Aug 18 14:44:37 +0000 2018,aananth95,members of tamilnadu road transport unions to contribute their one day salary towards kerala flood relief… https://t.co/fxr7swfut1
1030827816127004672,Sat Aug 18 14:44:37 +0000 2018,Chennai_Knight,"rt @aartic02: i will donate rs 2 per rt for #keralafloods in next 12 hours.
lets help our country men facing the wrath of nature in kerala.…"
1030827816340914177,Sat Aug 18 14:44:37 +0000 2018,MIT1359,"rt @preetismenon: this is our prime minister. a man who spent 4500 crores on advertising himself. 
he has only 500 crores for 4 crore peopl…"
1030827819197259776,Sat Aug 18 14:44:38 +0000 2018,iAmVikas_____,"rt @daas_pankaj: @ani आदरणीय मुख्यमंत्री श्री @jairamthakurbjp जी, आपने बाढ प्रभावित केरल की खुले दिल से मदद करके एक सराहनीय एवं प्रेरणादाय…"
1030827819905904640,Sat Aug 18 14:44:38 +0000 2018,alistergodwin,"rt @tushizap: google maps with locations or relief camps and other resources related to flood relief. 

https://t.co/5jbdnnu5gi #keralafloo…"
1030827820413583361,Sat Aug 18 14:44:38 +0000 2018,shibayanraha,"no sir, this is climate change and reckless development mixed together. nothing to do with a supreme court judgemen… https://t.co/3qtjwcvwg3"
